ride_review,ride_rating,sentiment
"Our party of 6 consisted of three of my adult daughters and two friends going wedding dress shopping. We needed an SUV to accommodate all of us, and Uber showed a driver 20 minutes away in Sanford, Florida. Perfect, we thought as the reservation wasn't for another 40 minutes. We waited, and waited but the map showed the driver staying at the same place originally shown, yet the eta remained the same. We thought that the map must be frozen, so a reset was done, and then it showed that the driver had picked us up and was on route to someplace other than where we were going AND WITHOUT US! To make matters worse, our credit card was charged and we were very late for our appointment. There must be a way for Uber to assure that your card is being used for YOUR trip and not for someone else.",1.0,0
"75% of the time I'm extremely satisfied, but here are my pet gripes: 1) No flat rate from airport, as there are with taxis and limos. From JFK we got stuck at the midtown tunnel and my fare (time + distance) was almost twice the flat taxi fare. 2) The driver's profile does not indicate if they have a FasTrak transponder. Coming from LAX to DTLA on two occasions we were stuck in traffic on the I-110 because the driver didn't have FasTrak and so we couldn't use the express lanes. When a driver accepts the request, if the snapshot description (name, make of car, license #, etc) also had ""Can use FasTrak express lanes - Yes/No"" I would know to reject a pickup from a driver if they lack FasTrak. Another solution would be to have an option in my profile's preferences, to only accept drivers who have FasTrak.3) Drivers often don't know the city, relying too much on GPS and so unaware of their surroundings. Taxi drivers seem to know the popular destinations and fastest/shortest way to get there depending on conditions, whereas Uber drivers usually are like little automatons, staring at GPS and unaware that Waze is sending us on an unnecessary 5-mile detour. I recently had a ride to the Broad Museum in downtown LA from my home which is 4 miles away. The driver never heard of it, and his GPS wasn't working.When I told him it was on Bunker Hill, next to Walt Disney Concert Hall, The Music Center, and near the County Courthouse he had never heard of any of them. Those are all iconic L.A. landmarks - nobody should be allowed to drive for Uber if they don't know the fundamental layout of the city and its landmarks. 4) The Uber App on my iPhone hogs too much memory. I have limited storage capacity on my phone and so had to review and remove some items. The Uber app, >150mb, was one of the biggest apps and so I removed it. By comparison, Lyft's app is only 74mb.",3.0,1
I would file a class action suit against Uber. I do not use this service and get billed! My card was taken and used. This company is not checking identification to match cards used for service purchases. This company and/or drivers are allowing minors to ride without permission and are using unauthorized debit & credit cards. There is no direct contact number to resolve these issues unless you create an Uber account. Has this happened to anyone else?,1.0,0
"If I could give 0 stars I would. Uber has STOLE my MONEY and has made 3 unauthorized charges to my credit card. On top of that, they are not even taking responsibility for it and continuously keep marking my issue as resolved even though I have proof such as my bank statements. There is no phone number or place I could go therefore they are taking advantage of that. There are random charges on my credit card that total to over $30 and I did not use my Uber app for a few weeks. When I asked them to explain those charges they say they don't know and just ignore me and mark it as resolved. Also, just recently, I had to wait for 3.5 hours to have my food delivered through UberEATS, I called UberEATS and complained and all they said they can do is give me a 50% refund, and you know what? They DIDN’T give me that either! I have already called UberEATS 7 times now and they keep saying they will process it but they never end up doing it. As soon as I find a lawyer I am suing UBER for lying, for making unauthorized charges to my credit card, and more. It is ILLEGAL, federal crime to steal money.",1.0,0
"I had driven to KCVG to leave a rental car. Having used Uber oh let say a half dozen time in my life. I charge up my phone that had gone dead. Now at the Avis rental car return the system informed me to drive over to the terminal. This is after the Avis agent informs me ""Oh yes. Uber picks up here."" I follow the instructions Uber gave. I take the shuttle to terminal and do not summon ride until at pickup site. Here is the hurtful thing... Now I could be wrong. While I am looking at the drive from Lyft I get this call from the Uber driver... ""I am outside..."" the way the exchange starts.Look. That lie I can break down! 1. Within a minute of placing the ride I got a confirmation from Uber… ""four minutes."" 2. Then I get this text ""I have a flat tire. Will you please cancel?"" 3. I replied yes. Now this Old buffalo was not born yesterday. Being at the end my seventh decade of life and having grown up in a small town down south (Alabama)... I smell a RAT and he stinks to hell. Oh well to boot I see this $5.00 cancellation fee. Now I will say it was taken off my card. Finally the young fool has a callback number (I have a screenshot) and not quite smart enough to not respond or auto text me. I sent to number listed and got a reply... ""not me."" I smell a stinking RAT and it smell to HELL! By the way I have one of those free text message numbers you choose. I was not born yesterday.I came to this site since I could not write or speak to Uber. Soon to be in my eight-decade of life and this did not FOOL me. I could be wrong but I do not think so. You tell me how I get this to Uber. Since the trip was never made I could not write a review. Again I did get the five dollars credited back to my account. Old Buffalo and Coon and I do mean Coon! That is in a smiling way.",1.0,0
"I used many times UBER rides in USA. I Visited Delhi India two weeks ago and had selected my card as the payment method but when I reached my destination the driver requested a cash payment. I thought maybe my credit card was not working here so I paid him cash, later I found out my credit card was also charged. When I requested the refund from Uber they give me excuses by automated reply like it's my fault I would have not given cash to Driver. What I supposed to do when driver is insisting to pay cash after completion of ride. At that time there was no way so I could confirm from UBER office before paying. Uber sent automated emails saying wouldn't have a refund option for this exact issue. SO NO MORE UBER.",1.0,0
"It's unfortunate to know that Uber allows its drivers to rate clients. My rating with Uber was 4.86 and after a recent trip out of town and used Uber my rating dropped to 4.63. I was kind and friendly to the driver. I engaged in the conversation that he started, I also sent him an additional tip post my trip. I will no longer ride with Uber and leave a driver who may be unhappy in his or her job or having a bad day or expecting a cash tip to rate me as a client and passenger. I treat all people with kindness and respect and my driver ratings have always been very good to excellent. You have lost a loyal customer.",2.0,0
"DO NOT ACCEPT RIDE WITH UBER DRIVER ""EDGAR"" IN SILVER TOYOTA SIENNA VAN!!! Me, my husband, and six year old daughter requested an Uber to take us back to the Sanford International Airport Wednesday, October 25th from Disney's Art of Animation Resort. We had a great experience with our trip to the resort the Wednesday prior with Mike who drove a grey Lexus. That fare totaled $40.49 and we tipped him $10. That said, we requested another Uber X for our trip returning to the Sanford airport with the same expected $40 fare - this was the fare provided when we accepted ride.We later got an email stating EDGAR adjusted the fare to XL due to ""the amount of people who rode"" -- we had THREE total. The fare more than DOUBLED to over $90!!! I had to submit several disputes to get this corrected and STILL had to pay MORE ($55.70) than the agreed rate of $40. VERY UNHAPPY WITH MY EXPERIENCE AND WILL NEVER USE UBER AGAIN. I WOULD HIGHLY SUGGEST FINDING AN ALTERNATIVE SUCH AS LYFT!!!",1.0,0
"I purchased a 100.00 dollar Uber gift card from CVS. After downloading uber app adding gift card on my android phone, I get an error message payment error. I've been trying to contact Uber for over 2 days and getting nothing but automated response from their so called customer service ""help"". After a useless message they have the nerve to send email ""issue resolved"". I'm out of 100.00 dollars. I even went to Facebook attempting to get a resolution same automated response!!! I HOPE THESE FRAUDS GO OUT OF BUSINESS FOR STEALING 100.00 DOLLARS FROM ME!!! No company is too big to fall!! I regret ever considering using Uber. Lesson learned.",1.0,0
"We used Uber about 10 times over a week on an Orlando vacation instead of renting a car and had very good results except for the last trip from our hotel to the airport. The initial estimated cost was $21.86 and it ended up taking 20 minutes or so. At the airport we were shocked that we had paid $65.91 and the receipt showed a distance of 74 miles, a trip time of 53 minutes and the map of the route was different from the one that we had taken! We contacted Uber and they promptly refunded the extra cost. Very bizarre - I hope this is an isolated incident and that Uber investigates. If the fare wasn't so much higher than expected we may not have noticed.",4.0,1
"I WAS a very loyal Uber customer in the past, especially when I lost my car so I used Uber on a daily basis coming to and from work. Well today I needed a quick ride to get a quick bite (husband was using my car) so I decided, “Hey why not use Uber.” I had heard they jacked up the prices but I never imagined I'd pay 50$ for a 7:00-minute drive. Yes my bill was 46$! THAT IS RIDICULOUS! Never will I use this company again. They are just ripping people off at this point.",1.0,0
"Myself & my daughter travelled on 22/10/2017. We checked Uber from Kompally to Gachhibowli and the amount shown is Rs.339 only. When the driver dropped us he has shown an amount of Rs.1324.27 which is not all correct. I have verified the receipt which is showing an amount of Rs.339.40 plus wait time Rs.3.22 total 342.62 but cash receipt has come for Rs.1324.47. How it is possible. It is possible if the driver continues from the previous trip. How the total of Rs.339/- has become 1324? Please explain. I have travelled with my daughter & hence I paid only Rs.500 after prolonged discussion (no use from your Customer care in spite of contacting). So, tell me what nonsense is going on.Yesterday, another incident happened & it came in Newspaper & TV also. One lady traveling from Hyderabad to Delhi and she has gone to Hyderabad airport & driver misbehaved & she made a complaint at Delhi Airport Police station and they contacted Commissioner of Hyd-Ciber Police Station & afterwards the driver has been suspended.Please act immediately w.r.t my aspect & give explanation and am going to file a suit against you. Can you refund my time & money wasted. Or else you please pay the compensation. Lot of time is wasted & harassment from your customer care & the driver. We are having the cash receipt scan and it will be attached if you want. Totally the worst services Uber is doing. No OPT and hence all these problems are coming. I don’t have regards to your Company. Please respond or else the matter will go up to any level.",1.0,0
"Alexandria, VA - October 6, 2017: I was charged a ""waiting fee"", even though I was standing precisely at the GPS location from which I requested the ride, in front of my home, when the Uber driver pulled up. The Uber driver did not have to wait even one minute. In fact, it was I who waited for the Uber driver to show up. Manhattan, NY - October 6, 2017: I was charged a ""waiting fee"", even though I was standing precisely at the GPS location from which I requested the ride and at which the Uber driver picked me up. The Uber driver did not have to wait even one minute. In fact, it was I who waited for the Uber driver to show up.Manhattan, NY - October 10, 2017: I was charged a ""waiting fee"", even though I was standing precisely at the GPS location from which I requested the ride and at which the Uber driver picked me up. The Uber driver did not have to wait even one minute. In fact, it was I who waited for the Uber driver to show up. Eisenhower Ave Metro Station, Alexandria, VA - October 10, 2017: I was charged a ""waiting fee"", even though I was standing precisely at the GPS location from which I requested the ride and at which the Uber driver picked me up. The Uber driver did not have to wait even one minute. In fact, it was I who waited for the Uber driver to show up. The ""waiting fee"" is a rip-off, pure and simple.",2.0,0
"On Oct. 8, 2017 at 1:12:45 PM - There should be No charge for this ride. Despite using a GPS, this driver tried to take a closed entrance to the Brooklyn Battery Tunnel and then had to detour back to the original entrance Once in Manhattan. And 10 blocks from our theater destination he took another wrong turn and ended up in New Jersey. By the time he got back to Manhattan it was already past the starting time of the play we were going to. As a matter of fact it was already 30 minutes into the play.Our tickets cost $127. I ordered the Uber car at approx 1:15 pm with an approx arrival ring of 1:42. We arrived close to 3:00. I expect Uber to not charge for the ride and to pay $127 for the tickets to the play that was ruined. This has to be the worst ever experience with Uber. I have spent over two weeks trying to get someone to call me. Their message keeps saying that ""their team is working on it""? I have taken Ubers in various cities but this is the worst experience and cost me a lot of money. So much for a loyal customer! Uber if you read this - Please call.",1.0,0
"I requested a ride from my residence to Publix grocery store, $8.48 and $5 tip. When finished shopping, I found my phone was not in my pocket. Upon exiting, the driver was outside with my phone. I had dropped it in her car and she returned it. I was very grateful. Return home was $7.15 and $5 tip (a different driver). Checked my bank account when I got home, was charged total of $48.84. Registered concern in the app. There is no customer service phone number. I was sent a message that I was charged $15 for returning my phone. Still a discrepancy. I replied and my concerned was totally dismissed. Message said complaint was resolved. Terrible service. No more Uber for me.",1.0,0
"I had selected my card as the payment method but when I reached my destination the driver requested a cash payment and I obliged since Uber has a refund option for such circumstances but when I requested the refund they give me excuses like it's my fault for not checking the payment method, etc. If that was the case, they wouldn't have a refund option for this exact issue. This is the second time Uber has done this to me and it is the only reason why I'm lodging a complaint here.",1.0,0
"Uber support just sends “canned” responses for questions; there is no escalation path, they don’t seem to read the issue and they have multiple agents responding to the same ticket so you repeat the issue endlessly because they have nobody taking accountability for the ticket from beginning to end. They just close tickets and mark resolved so the agent can increase their ticket count. Worst support department ever - they should implement a rate the support agent so they will get metrics on how bad their support is.",1.0,0
"While it is wonderful to be able to get a driver with a ""tap"" of your finger, there is much more behind the ease of the process. I was a driver or a ""partner"" as UBER likes to call us. I drove for UBER for approximately 3 years without incident. However, their support throughout the three years is nothing I have ever experienced. It's predominantly offshore and only app driven. You cannot speak to anyone and the support ""messages"" or solutions are all canned or templates. There is no humanity for ""outside the box"" incidents. I recently had an incident on the freeway while I had a rider in the car. A motorcycle was ""lane splitting"" (in California) and deliberately punched my drivers' side mirror. When I reported this to UBER, they deactivated me and cited I was an unsafe driver. Again, I never had any other reports.After many hours of trying to get to ONE of the support representative, Paul, via online, that actually broke the template chain and conversed without script, I found the ONE live person in my area. I drove to meet this person. His name is Victor. Victor acted as if he understood my situation as he agreed that I never should have been deactivated and was communicating with PAUL and corporate to rectify. Victor never called me as he said he would. Uber deactivated my account and told me this decision final. They are terrible to their ""partners"", they do not have customer service, and they truly only care about money. We are all a dime a dozen and until we band together they will continue to maintain this low level of service.",1.0,0
"Uber drivers in Sydney (and other cities around the world ) have a bad habit of accepting jobs from miles away and sometimes up to 20mins, while still dropping off a passenger and while there are dozens of cars very close to the new job location. I had one this morning again to take me from home in Rushcutters Bay to work in the city and there were at least 6 cars within 1-2mins from my location. This the ** Uber driver, still took the job while still in the city some 15mins away. Uber needs to do something about this sort of behaviour as it ruins the customer experience and make people angry, if customers want ** service they would take a cab. The solution could be very simple, offer a function on the app for the users to manage a circular area around the pickup zone beyond which Uber drivers are excluded from picking up rides. Simple!!",1.0,0
"My experience with Uber was in San Francisco in April 2017. Uber is still hiding in the shadow and will not come up front and center to pick you up, they lurk around the corner, and if the wait too long for you they cancel the ride. This is a damaged game of hide and seek.",2.0,0
"It was completely outrageous when I called Uber to pick me up at the airport and bring me back home. They gave me the same service from my home to the airport three days prior to my arrival in town. To my surprise they charge me $58 for the same travel time and distance that I paid $23 before. The same service, the same distance, the same location. Never again request other services and never again will request their services.",1.0,0
"I use Uber all the time, but I am officially done with this unprofessional company. Guess it would be a crime to be able to talk to someone in person at Uber. Uber is letting their drivers ripoff their riders. I have a service dog and in the last weeks have been charged twice a cleaning fee, without any input. The last one was for dirt spots on the seat that was already there. I am tired of drivers making extra money, whenever they feel like it. I am done being ripped off!!!",1.0,0
** - Contact number of the driver. Absolutely not professional. I booked a cab and it showed me 3 minutes away. Again it changed to 6 minutes away. Followed by 9 minutes away. I called him to guide him through. He purposely kept the phone on speaker and pretended like he could not hear me. Uber has really disappointed me. HORRIBLE.,1.0,0
"The navigation system is great but in India the driver selection is not good, if there are any issues with bills or rates or promos the customer care does not respond quickly.",4.0,1
"I have a pay as you go phone, it was next to impossible to get their app to work on it. I am still finding it difficult to change the bank I want the money to come out of. There is no ph # to call for customer service.",1.0,0
"Uber rides have always been convenient, plentiful and prompt. All rides have been with good and friendly drivers. Always been impressed with the cleanliness and newness of the vehicles I've ridden in.",5.0,1
"Uber Atlanta Horrible - I did Rideshare. The driver confused me with the other person that took the ride. I requested to be picked up from the Aquarium and go to Mary Mac’s Restaurant. If you look at where the driver took the client it was not to that place. Uber charged me $4.77 for a ride I never took and believed the driver over me. Rideshare should not be used If you can’t account for who took the ride. I was never picked up, the driver simply confused me with the other person. I had 3 rides scheduled but only picked up one time. Unfortunately, because of their growth, there’s no way to account for what is real and not. I had the same problem in Washington D.C. but was able to get refunded.",1.0,0
I have had a positive experience with Uber and it's the company that I contact when I need fast service. When it mattered they were there and always on time and I am thankful for that.,5.0,1
I ordered Uber in Seattle on 6/17. I was getting off a cruise ship and needed to go into the city. I contacted the driver that never arrived. I then contacted another driver who wanted me to walk 3/4 of a mile to a Subway. My last encounter was a driver who wanted to charge me $45 for a short ride.,1.0,0
"I used Uber regularly a few years ago, then my driver got in an accident on the way to pick me up so I had to hop a train. The next time, a driver came to pick me up but I could smell alcohol on his breath so I hopped a train again. The last straw for me was the driver who was late because he was being cited for causing an accident but he could be to my house about 20 minutes late. Never used them again. Now I use taxis whose drivers are licensed, bonded and insured.",1.0,0
"Found myself in California, emergency trip, without transportation. Stranger in town. Called taxi for 16 mile trip to the hospital. Cost $58.00 and no way to afford that for long after paying for food and lodging. Called Uber after that. Less than half the cost and drivers always prompt, courteous, and helpful in recommending food, shopping and other necessities when asked. Got a mini sightseeing tour with every ride as they explained the surrounding area. Loved it. Thank you Uber.",5.0,1
"I'm an avid Uber rider. On 9/30/2017, I ordered an Uber pool around 2pm. My fare was $8.98. The driver picked me up from my location. On the way to my dropoff, the driver picked up another passenger, dropped that passenger off. He proceeded to my dropoff, but he ended my ride by mistake. The driver had to load my dropoff address again. It's only after I got out the car, I realized my fare was duplicated. I've sent emails to UBER. They dont have customer relations, only email. They didnt refund me my money. On October 6, I used their service again. This time my fare was $30.92. This fare was obviously deducted from my Visa card and its also on my statement. On their app, UBER is claiming I have an outstanding payment, but I have PAID THEM. I need help.",1.0,0
Uber charged me again for a wait time when I was outside waiting for the driver to pull up. Today I watched the driver pull up and got into the car. I even texted the driver my location beforehand so there would be no confusion. Then I look at my online receipt and I see the charge. This is the third time Uber has done this. I think it is a scam. I rated the driver really low and will change it once someone verifies that the drivers aren't responsible for this. I can't get anybody on the phone. Uber's customer service is atrocious. I can't keep using a service that tries to scam me at every opportunity.,1.0,0
"I've had limited but really optimal experiences. I only use the service occasionally like three times in the last two years, but nice cars, good people, short wait, very low prices.",5.0,1
"Used Uber 4 times in Miami in January. Twice the drivers were good, one a little lost, and one couldn't find his butt with both hands.",3.0,1
I am an Uber driver and have been only for a short time but all the passengers have said positive things about their rides. The company checks out all the riders before they are allowed to use Uber. It also does a background check of the drivers. They send the driving directions on where to pickup the passengers and also for the destination. Then pay me once a week.,5.0,1
Love Uber. First time user but was very impressed of the reasonable price and efficient service. The driver was very nice and helpful too. I would have given a five star but we had to go to a certain station to catch our ride not at the curbside by the baggage claim area.,5.0,1
"In fairness these 2 don't play fair. Yes, fairness is important to many of us. Their ID is sketchy, no car safety checks and they don't pay taxes and fees that taxis do.",1.0,0
My car was in the repair shop and I needed a ride home from work. I used my Uber app and my driver was there within 15 minutes and she was very professional. Her name was Joke and I said I would use her services again. Great experience!,5.0,1
"I order Uber pick up and my family and I find out every each time my phone has higher charges. Other 2 phones only charge around $5.77 for a pool ride, my phone every each time is higher, it charge $7.49, usually a dollar something higher, sometimes is even more.",1.0,0
"A couple years back the family and I went on a trip to Washington, the state. We went there to one of their water parks. We had loaded up in the motor home and went. The trip ended up being a total bust, the weather, the water park, trying to find accommodation for us and the motor home. Not having another vehicle Uber came through on several times. Each time the Uber people were great. More or less saved the trip.",4.0,1
"We had occasion to use Uber for the first time in Washington. D.C. last fall. The service was convenient, dependable, economical and very easy to use. The service was friendly and on time, the drivers courteous. A very good experience.",4.0,1
My son and daughter recently went to a concert at the Barclays Center in Brooklyn New York. For convenience my son ordered an Uber. The quoted fare was $57-$80.00. He was charged $81.52. After the concert he requested another Uber for the return home to New Jersey. He was quoted the cost would be $55-$75.00. When he left the car the final cost for the ride was suppose to be $75.22.The next day he received a fraud email from his bank stating that there were 3 charges of $130.80 pending on his account. He quickly called the bank to dispute those charges and he contacted Uber by email to also dispute the charges. He was later charged $130.80 for his return trip. He hasn't received any explanation for this overcharge price from Uber. Their accounting is poor and they will only dispute their issues via email. We have used their services in other states and have had no problems. We will never use their services again.,1.0,0
Uber has suddenly blocked my account without giving any justification. Even their customer care is not giving any proper reason. I have requested for reason but that can't even give that. This is not ethical to block without any reason.,1.0,0
"I have the Uber app installed on my phone. Uber drivers are easy to schedule, payment is made online so I never need to worry about having cash. My wait is typically 5 minutes and I'm able to see the car in route along with make and license plate numbers (which can be sent to a friend by text if anything should ever happen). Fares are 50-75% less than traditional cabs. Cars are clean and well maintained. Love Uber!",5.0,1
New User. Tried to book a future pickup and thought we had. Realized that they dispatched a driver immediately and once I discovered this I cancelled. They charged $5 fee and I disputed because of their poor app information. There is no phone number to discuss customer relations. I will NEVER use this company!,1.0,0
"The Uber driver cancelled the trip himself without consulting me. I was waiting for the driver to pick me up. While I was waiting, I received the email that the trip is cancelled and I was charged R25. I struggled to get hold of them to solve the problem, because everything is online with them. I managed to submit my complaint with them online. They took about two hours to come back. A Mr ** told me I must check that the reverse the money back into my account, which is not true. They only reverse the amount which they would've charged me for the trip but not the cancellation fees. I sent Mr ** an email again and told him that I was not reimbursed with the cancellation fees. He replied to me with an attitude in bold that the driver must get paid for a cancelled trip and at the same time the attitude is ""what do you further want us to do. The matter is resolved and like leave it and keep quiet."" I replied again and told Mr ** that I will take the matter further, because I had to make alternative arrangements. The driver just cancelled the trip and I was charged a cancellation fee which is not fair and I also told him he doesn't have to have an attitude with me to send me an email in bold. I'm very disappointed and disturbed, because I actually make use of Uber nearly every week sometimes twice or three times per week. I am shocked with what happened tonight and the kind of attitude which I received from them. If I was in fault I would've understand their attitude and behaviour. Kind regards.",1.0,0
