14,Here is the hurtful thing. I get this call from the Uber driver... "I am outside..." the way the exchange starts.Look. That lie I can break down! 1. Within a minute of placing the ride I got a confirmation from Uber… "four minutes." 2. Then I get this text "I have a flat tire. Will you please cancel?" I see this $5.00 cancellation fee.I smell a RAT and he stinks to hell.Finally the young fool has a callback number (I have a screenshot). Now I will say it was taken off my card. 
15,the driver requested a cash payment.so I paid him cash, later I found out my credit card was also charged. When I requested the refund from Uber they give me excuses by automated reply like it's my fault.driver is insisting to pay cash after completion of ride.Uber sent au 
16,I will no longer ride with Uber and leave a driver who may be unhappy in his or her job or having a bad day or expecting a cash tip to rate me as a client and passenger.You have lost a loyal customer. 
17,DO NOT ACCEPT RIDE WITH UBER DRIVER.  VERY UNHAPPY WITH MY EXPERIENCE AND WILL NEVER USE UBER AGAIN. I WOULD HIGHLY SUGGEST FINDING AN ALTERNATIVE SUCH AS LYFT!!!
18,I HOPE THESE FRAUDS GO OUT OF BUSINESS FOR STEALING 100.00 DOLLARS FROM ME!!! No company is too big to fall!! I regret ever considering using Uber. Lesson learned.
19,this is an isolated incident. We used Uber about 10 times over a week and had very good results.
20,THAT IS RIDICULOUS! Never will I use this company again. They are just ripping people off at this point.
21,Please explain.no use from your Customer care in spite of contacting.nonsense is going on.driver misbehaved. complaint at Police station. the driver has been suspended.going to file a suit against you. Can you refund my time & money wasted. Or else you please pay the compensation. Lot of time is wasted & harassment from your customer care & the driver.  
22,charged a "waiting fee". In fact, it was I who waited for the Uber driver to show up.  The "waiting fee" is a rip-off, pure and simple.
23,This has to be the worst ever experience with Uber.this is the worst experience and cost me a lot of money.Uber to not charge for the ride and to pay for the play that was ruined. 
24,Terrible service. No more Uber.
25,driver requested a cash payment.I requested the refund they give me excuses. lodging a complaint.
26,nobody taking accountability for the ticket.Worst support department ever.how bad their support is.
27,There is no humanity for "outside the box" incidents.they deactivated me.Uber deactivated my account and told me this decision final.They are terrible to their "partners", they do not have customer service, and they truly only care about money. low level of service.
28,bad habit. ruins the customer experience and make people angry. 
29,cancel the ride.lurk around the corner.damaged game of hide and seek. 
30,It was completely outrageous. Never again request other services and never again will request their services.
31,officially done with this unprofessional company.drivers ripoff their riders.I am tired.I am done being ripped off!!!
32,Absolutely not professional.Uber has really disappointed me. HORRIBLE.
33,The navigation system is great.
34,finding it difficult. it was next to impossible.
35,always been convenient, plentiful and prompt.good and friendly drivers.impressed with the cleanliness.
36,Horrible. never picked up.
37,positive experience. fast service.always on time. I am thankful.
38,driver that never arrived.
39,smell alcohol on his breath. last straw. Never used them again. Now I use taxis whose drivers are licensed, bonded and insured.
40,half the cost and drivers always prompt, courteous, and helpful. Loved it. Thank you Uber.
41,fare was duplicated.dont have customer relations.didnt refund me my money.
42,scam.rated the driver really low. customer service is atrocious.
43,nice cars, good people, short wait, very low prices.
44,good.
45,positive things.
46,Love Uber. impressed. reasonable price and efficient service.five star. 
47,sketchy. safety.
48,very professional. Great experience!
49,higher charges. even more.
50,great. saved.
51,convenient, dependable, economical and very easy.friendly and on time. courteous.very good experience. 
52,fraud. dispute. overcharge. poor. never use again.
53,blocked. justification. proper reason. not ethical.
54,easy to schedule.  Cars are clean and well maintained. Love Uber!
55,disputed. poor. NEVER use this company!
56,struggled. complaint. attitude.very disappointed and disturbed.shocked. 
57,most horrible and worthless. bizarre. dispute. cheat. victim.
58,faster. courteous. respect. good. recommend Uber, peace of mind.
59,extremely prejudicial. disabled. Lyft. ride with Lyft. 
60,very upset. never use this service again. Shame on Uber.
61,reliable. Thank God for Uber!
62,great app. easy to use, convenient.
63,user friendly. drivers have been friendly and have driven carefully. satisfaction. recommend Uber.
64,great job. provides security and privacy.
65,drivers were prompt, courteous, and treated us with respect. we certainly appreciated them.
66,very convenient and inexpensive. awesome. fast service.
67,poor. assistance. 
68,
69,loved it. it was awesome. professional, clean and friendly.
70,
71,very dependable, prompt and courteous. cars were cleaner.use it more often.
72,difficult. lost me as a customer. bad experience. cancel and left. non-existent. that is completely unacceptable.
73,always been professional, safe drivers, and a pleasure to deal with.always been clean, mostly newer models, and well-maintained.Uber is very good. 
74,Clean, comfortable vehicles and good music. Courteous drivers and safe driving habits.
75,very convenient.
76,STRANDED. disappeared. dangerous. uninstall.NEVER use Uber again.terribly.
77,clean. pleasant. safely. pleasant experience. 
78,pleasant. affordable. offer and deliver good service.
79,great. very polite and punctual. 
80,
81,prompt and so friendly and happier. spotless and lots of floor space. smooth. very nice.highly recommend Uber.
82,convenient. always on time, courteous, and helpful. vehicles were all clean and efficient.
83,really great. discount rides. very safe and a great concept.
84,So far so good.
85,Quick and efficient service, clean cars, and polite staff.
86,
87,polite and helpful. courteous or helpful. 
88,very safe. use UBER.
89,never came.
90,Great experience and great concept. personal safety. good business.
91,quite fast, taking shortcuts.
92,always prompt, knowledgeable, courteous and professional. use them often.
93,cancel. late. driver charge me for nothing.
94,Uber is so much better. 
95,good experiences. convenience. drivers are great.
96,prompt and friendly. 
97,good experience. very friendly. really enjoyed laughing and talking with her.
98,very fast. 
99,really clean and very courteous, safe driver and professional.
100,
101,long way.got lost.
102,wonderful, less expensive and convenient. 
103,charged a $5 cancellation fee. No phone call, never saw the car."waiting". refund. dispute.absolutely outraged.Lyft is much better.
104,love Uber! very convenient, quick, and very safe. very happy.
105,reliable and professional. pleasure.
106,easy to use and fast. 
107,personable, and safe. good.
108,very professional and polite and easy to talk to. nicely dressed. very helpful. very clean.
109,fast, courteous and careful. 
110,disappeared. total waste.
111,great service.privilege.
112,very professional and nice.
113,ease of getting the service. better than taxi.
114,cheap cost. 
115,very, very well. very friendly and the cars were newish and clean.
116,the best, cheapest, safest. tremendous. safe.
117,cancelled. I will try Lyft in the future.
118,squeeze in. automated response. requested refund. illegal. 
119,prompt, clean, safe. Very satisfied.
120,love Uber. always clean, and courteous and professional.
121,on time, polite and good conversation.
122,The service is great.
123,error in my billing. cancelled. no response. my account is frozen.
124,they were great.
125,really convenient to use. drivers were polite, good drivers.
126,prompt and courteous. very caring and loyal. pleasant, caring, compassionate, and humorous. 
127,Close by, on time, good drivers, nice conversation.
128,economic and convenient service. safe.
129,LOVE. cheaper.Very cool!
130,offensive. 
131,
132,
133,very reasonable. pretty prompt. very clean and comfortable.
134,sucks. complaints. making money.
135,not helpful, worse, and last straw. 
136,happy with the service.
137,INSANITY! stolen. time-consuming. unsatisfactory. HORRIBLENESS.catch a Lyft.  
138,major problems. very angry. Nightmare!!
139,very prompt, very kind.
140,
